num_behavior,num_dissect,effect_size,power
200,12,0.1,0.0933
400,12,0.1,0.1012
800,12,0.1,0.1141
1200,12,0.1,0.1134
1800,12,0.1,0.1203
2600,12,0.1,0.118
4000,12,0.1,0.1134
200,24,0.1,0.126
400,24,0.1,0.1564
800,24,0.1,0.1668
1200,24,0.1,0.1886
1800,24,0.1,0.1903
2600,24,0.1,0.2063
4000,24,0.1,0.2111
200,48,0.1,0.1844
400,48,0.1,0.2303
800,48,0.1,0.2669
1200,48,0.1,0.2886
1800,48,0.1,0.3216
2600,48,0.1,0.3352
4000,48,0.1,0.3631
200,72,0.1,0.208
400,72,0.1,0.2862
800,72,0.1,0.3449
1200,72,0.1,0.3917
1800,72,0.1,0.4269
2600,72,0.1,0.4565
4000,72,0.1,0.483
200,96,0.1,0.2224
400,96,0.1,0.3174
800,96,0.1,0.4196
1200,96,0.1,0.4629
1800,96,0.1,0.5094
2600,96,0.1,0.5492
4000,96,0.1,0.5846
200,144,0.1,0.2392
400,144,0.1,0.3663
800,144,0.1,0.5007
1200,144,0.1,0.5635
1800,144,0.1,0.6306
2600,144,0.1,0.6787
4000,144,0.1,0.72
200,192,0.1,0.2406
400,192,0.1,0.3981
800,192,0.1,0.5567
1200,192,0.1,0.642
1800,192,0.1,0.7105
2600,192,0.1,0.7715
4000,192,0.1,0.8167
200,12,0.15,0.1508
400,12,0.15,0.1687
800,12,0.15,0.182
1200,12,0.15,0.2032
1800,12,0.15,0.2046
2600,12,0.15,0.2084
4000,12,0.15,0.2156
200,24,0.15,0.232
400,24,0.15,0.2867
800,24,0.15,0.3317
1200,24,0.15,0.356
1800,24,0.15,0.3839
2600,24,0.15,0.3936
4000,24,0.15,0.4151
200,48,0.15,0.3404
400,48,0.15,0.4374
800,48,0.15,0.5345
1200,48,0.15,0.5744
1800,48,0.15,0.6101
2600,48,0.15,0.6486
4000,48,0.15,0.6807
200,72,0.15,0.3986
400,72,0.15,0.5438
800,72,0.15,0.6405
1200,72,0.15,0.7145
1800,72,0.15,0.7605
2600,72,0.15,0.795
4000,72,0.15,0.8292
200,96,0.15,0.4417
400,96,0.15,0.604
800,96,0.15,0.7378
1200,96,0.15,0.7989
1800,96,0.15,0.8478
2600,96,0.15,0.8771
4000,96,0.15,0.9059
200,144,0.15,0.4754
400,144,0.15,0.6803
800,144,0.15,0.8336
1200,144,0.15,0.8963
1800,144,0.15,0.9313
2600,144,0.15,0.9572
4000,144,0.15,0.9713
200,192,0.15,0.4792
400,192,0.15,0.7353
800,192,0.15,0.8916
1200,192,0.15,0.9357
1800,192,0.15,0.9683
2600,192,0.15,0.9806
4000,192,0.15,0.9915
200,12,0.2,0.2348
400,12,0.2,0.261
800,12,0.2,0.3011
1200,12,0.2,0.3113
1800,12,0.2,0.3261
2600,12,0.2,0.3283
4000,12,0.2,0.3484
200,24,0.2,0.3901
400,24,0.2,0.463
800,24,0.2,0.5332
1200,24,0.2,0.5699
1800,24,0.2,0.5966
2600,24,0.2,0.6186
4000,24,0.2,0.6245
200,48,0.2,0.5499
400,48,0.2,0.6749
800,48,0.2,0.7879
1200,48,0.2,0.8276
1800,48,0.2,0.8583
2600,48,0.2,0.8787
4000,48,0.2,0.8986
